Set;MTP;PCA1;PCA2;PCA3;PCA4;PCA5;PCA6;PCA7;PCA8;PCA9;PCA10;PCA11;PCA12;PCA13;PCA14;PCA15;PCA16;PCA17;PCA18;PCA19;PCA20;PCA21;PCA22;PCA23;PCA24;PCA25;PCA26;PCA27;PCA28;PCA29;PCA30
0;35;124.467;0.4623;24.546;14.168;-20.353;0.3218;10.568;0.62715;-119.639;-12.665;-12.098;-0.62948;0.35505;-0.48928;-0.74834;0.41612;-148.053;-0.2201;0.83368;-130.466;-0.42861;-0.04623;0.8734;-0.70146;0.0597;-0.55319;-0.65146;-0.4512;-0.44288;-10.651
0;35.5;0.4655;25.783;30.057;-0.6493;-26.516;0.4016;18.285;-0.42133;-0.8569;-0.7179;-0.599;-0.7384;0.29569;0.78544;-316.203;0.31885;-160.187;0.0796;0.48565;-0.34618;0.3735;-0.3577;0.4167;126.894;-106.253;-0.29184;135.829;0.59936;0.52795;0.6853
0;37;36.974;10.016;0.2007;-0.5965;0.333;0.3349;0.8589;-0.24477;144.767;-14.944;-14.357;0.47476;0.01858;-0.93139;0.39946;0.60196;-0.14274;0.3215;-0.3881;-0.01252;-0.18124;0.69699;-0.2196;-0.27528;0.62499;0.68778;-0.32294;104.241;-114.696;0.89171
0;37.200.001;94.371;-1.972;0.3609;20.595;20.337;-0.9534;-13.095;-23.675;21.517;-0.7159;0.0028;-0.00399;-0.46255;-117.271;0.44283;0.03841;0.19436;-0.703;0.01918;0.00803;-0.9743;-0.70619;0.3515;-0.23358;0.37493;0.26056;0.15168;-0.76576;0.25501;-0.09512
0;37.5;107.586;4.959;15.726;0.3247;10.451;0.4054;0.5144;-0.59999;0.05006;0.8019;-0.166;-0.21272;-0.22322;243.947;-286.246;0.50352;0.62829;0.7322;-151.849;122.411;-0.87453;0.60561;-15.741;-0.05378;-0.31249;120.981;-0.02279;0.39657;-120.528;0.39365
0;38;119.569;-0.3618;34.044;0.5422;-19.434;-0.1661;-13.487;-0.83483;-0.67164;-13.224;-11.729;-108.175;0.05176;-186.025;-0.79374;0.07628;-10.614;-0.5785;0.89347;-0.47751;-0.06684;0.41533;11.425;-0.05302;0.58919;-0.77814;0.24855;-0.31493;0.06004;-0.92004
0;38;107.727;3.066;40.257;15.298;19.149;-0.7206;1.385;0.08605;-134.435;0.4096;-0.185;0.45534;0.28027;-0.14216;0.82062;0.93212;-207.766;-0.4993;0.03037;-0.96754;-268.905;-0.4235;-0.0804;0.16191;-0.16452;0.34085;0.08033;0.04564;0.73006;-0.98099
0;38;-114.374;-21.659;54.429;-42.461;-12.877;0.1737;57.159;-381.278;138.561;-0.861;-23.343;0.00584;-0.57566;0.43434;0.59207;-0.22151;156.117;0.2155;19.706;-129.147;-0.57384;0.72018;0.9437;0.27925;186.524;117.192;-261.206;113.882;-0.47043;0.65056
0;38.200.001;117.554;-29.773;29.119;28.279;24.507;-0.7284;-17.113;-0.91244;0.5877;0.453;-0.1768;0.49107;-0.37401;-223.676;141.198;0.1366;0.29022;-0.6823;0.3919;0.16141;-0.71699;-0.57317;0.6313;0.32327;0.38571;-0.02181;0.35045;-0.92139;0.00639;-0.56015
0;39;81.608;-30.686;25.152;-11.346;-12.755;0.3062;16.702;-0.33466;111.676;-17.527;-22.139;0.03857;0.01441;-155.932;-0.72192;0.93159;-0.33806;-0.0585;0.28112;0.01175;0.71446;0.957;0.1122;-0.23255;0.93742;0.3255;-0.01178;0.65274;-0.7028;0.22802
0;39.799.999;12.553;40.681;0.3479;0.4349;-0.9576;0.8758;0.1368;-0.29988;-113.216;-0.7536;-12.367;-185.509;-178.274;127.941;133.512;-0.08972;0.24561;0.3808;0.71787;0.18618;-165.175;-0.33081;-0.0061;0.38331;0.09351;-0.60117;-0.00429;0.27618;-0.62223;-151.396
0;40;107.613;-1.825;-0.0351;0.0337;0.3145;0.0986;11.652;131.491;120.849;-16.679;-0.1326;-0.43011;-0.95392;-354.459;0.06984;-167.413;-104.046;0.0602;0.75332;-0.19042;-0.35257;0.29831;0.1067;0.0438;-0.09171;0.21688;0.47435;-0.68128;-0.59113;0.63127
0;40.5;142.167;-0.2602;-0.6164;32.451;-0.148;-0.4268;0.6828;173.991;-143.044;-0.3031;-0.6505;-0.04826;-0.1539;-0.74599;0.44059;0.95297;-147.694;0.295;145.494;-170.232;0.27955;-0.42534;0.6732;-0.31987;-0.16145;0.08126;-0.22805;-0.05533;0.25775;-10.589
0;41;109.381;41.007;25.496;-0.1659;-0.7147;-16.565;15.649;-0.65625;-132.214;-0.4302;-0.1522;-210.546;10.445;-0.1463;-149.185;-0.5721;-0.72501;-0.0365;0.15245;-266.436;-0.88712;-0.04515;0.4057;155.934;-154.384;-174.487;0.27877;0.72388;0.22505;-194.936
0;41;31.692;32.598;21.048;17.951;25.016;0.0162;0.4052;0.24966;0.52183;0.0289;-0.5334;0.85533;-0.17556;-0.5091;0.42853;-0.33354;-0.17158;-0.767;-0.8326;0.32699;0.0884;-0.23051;-0.0628;-0.15321;-0.49973;-0.33998;123.785;0.5695;0.15131;121.685
0;41;20.032;60.598;48.629;-2.026;26.618;-28.194;30.359;-243.026;-0.04526;0.7042;0.6613;-0.29097;0.43111;-0.53416;-218.249;138.533;-288.604;19.171;-0.87647;-0.02538;-22.257;-0.08947;-16.949;170.807;0.0936;120.741;-0.41818;0.2917;-0.39946;107.843
0;41;9.599;-1.928;0.7335;17.463;2.551;-0.9906;-12.888;-214.566;171.548;-0.5832;0.1026;-0.54211;-0.88365;-136.299;0.52534;-0.03801;-0.81125;-0.6854;-0.67765;0.63724;-0.38166;-0.51852;0.2494;0.83439;-0.19561;109.365;-109.625;-0.41529;0.69262;0.08499
0;41;134.577;-15.406;39.723;-13.891;-1.336;-0.4682;-0.4136;-0.97066;-0.45614;-0.9085;-0.7441;-0.50227;0.50055;-214.948;-0.26333;106.942;-134.927;-0.8239;0.65971;-0.60268;-140.261;-0.2521;0.9735;0.75445;0.54445;-0.79301;-0.22709;0.10236;-0.23588;0.25225
0;41.5;68.055;-0.9482;18.284;12.282;20.281;-0.8282;-0.9631;-275.234;195.575;-0.4341;-0.1847;0.14059;-102.384;-13.287;0.49222;0.15744;-0.08341;-0.7468;-0.52872;0.70613;-0.00492;-0.67973;0.6479;0.73151;-0.11309;0.73914;-135.634;-0.6422;0.6606;-0.18331
0;41.799.999;-4.354;74.058;13.829;-18.143;-0.8401;-0.354;1.523;-35.253;180.524;-0.5518;-0.7904;135.408;-0.52642;-105.205;-152.918;-0.58956;222.645;0.8993;130.696;-0.72559;-0.31705;0.47309;-0.371;108.223;-0.52812;-0.28334;-0.58225;-0.08576;0.53915;-145.682
0;42;47.671;24.767;-0.3945;24.396;0.3979;0.678;-0.0899;0.17397;166.603;-18.253;-11.192;-0.00278;-0.30821;0.10943;0.35481;-0.7263;0.51822;-12.299;-0.19854;0.24058;0.68303;-0.57811;0.8482;-0.57298;-0.42028;-0.93571;12.717;0.3707;0.34908;-0.00319
0;42.5;-67.828;64.758;20.777;17.352;23.066;-0.7445;0.7683;-145.046;196.742;-0.6763;-0.8704;117.933;-0.24436;0.06685;0.28391;-0.22345;0.12554;-1.517;-0.89931;0.35657;0.38512;-0.88705;0.442;-127.571;-0.54451;-0.87265;0.84288;-0.07804;-0.1152;-0.07626
0;42.5;135.566;24.715;24.225;-13.262;11.748;-11.082;1.797;-0.23866;-0.02877;0.2493;-0.2669;0.17789;-0.73928;0.04291;-0.72428;-115.119;-0.44514;-12.234;0.30162;-0.76973;-218.045;-0.73734;-0.2988;0.31055;-0.89251;-0.11172;0.29043;0.95387;-0.35149;109.175
0;43;87.059;19.378;34.178;0.3909;-0.9422;-0.036;14.729;-0.20154;-0.87497;-10.649;-10.137;-0.63896;-0.34088;-0.51573;-103.245;0.2834;-221.343;-0.3183;-0.4082;-0.50916;0.12782;-0.00072;0.4853;-0.29731;-0.41728;0.17657;-210.392;-0.38693;0.05688;-0.83325
0;43;100.992;58.969;-0.2822;21.766;0.2417;13.281;-14.939;0.61968;-10.546;0.7529;-0.7507;-0.36374;-0.44362;383.412;-0.99471;-0.0705;121.264;-14.007;-198.848;197.145;0.51364;0.03036;-0.3236;0.91794;-158.291;202.063;-250.345;0.2911;0.06427;-124.487
0;43;111.156;-54.044;3.821;-44.048;0.3026;-2.896;0.312;-445.594;0.97796;-13.327;0.2444;-169.767;0.23279;-0.44849;-0.51038;140.759;130.467;-18.114;160.471;-0.65019;-0.09305;-0.51351;-0.0254;-146.917;-152.196;-0.55249;0.28211;-0.82573;179.039;-0.89778
0;43.799.999;27.189;56.617;54.025;26.691;0.5437;0.8959;-0.0916;162.581;-241.795;1.862;-0.5471;159.811;-0.34776;-0.25416;0.25415;0.27756;0.89554;0.6376;0.73255;0.00863;-0.26929;-0.17895;0.0423;0.82057;-0.2106;-0.07729;0.01687;-0.60173;-0.16855;-12.601
0;44;35.888;10.998;29.509;-0.7272;0.5223;-18.598;-20.046;-437.697;185.141;-0.8844;0.3945;0.03864;-109.804;-0.98318;-116.193;0.20962;0.32713;0.4756;101.852;-0.39595;-0.41249;0.28934;0.1783;0.22859;0.01344;-0.10884;-0.23111;0.16625;0.53382;-0.79878
0;44;55.221;70.244;-12.757;20.743;-11.369;-0.9244;-0.4791;-102.974;0.00035;-0.9391;-0.7616;-0.13719;0.70241;0.35611;-0.13614;0.40576;-114.427;-0.1669;0.56793;-101.376;-158.408;-11.232;0.9344;112.779;-0.19886;0.24156;0.60725;-0.31975;0.29787;-0.96979
0;44;0.8162;3.598;35.371;0.8029;20.464;-0.2439;12.945;-0.45392;125.776;-0.5098;-0.7291;110.424;-0.09121;-0.798;-0.57737;-0.60539;-0.14194;-0.9756;-0.62669;0.43053;-0.05483;-0.41651;-0.0947;-0.43125;-0.35587;-0.78319;100.457;0.14644;0.37871;0.49486
0;44;21.082;-32.757;-4.08;-55.482;54.172;-0.9704;-23.298;155.417;-184.131;-0.0824;-24.324;257.967;0.13607;107.789;-177.018;194.832;-0.4299;0.8017;0.97542;-0.74043;0.43507;-125.744;-0.0273;0.13897;0.93658;-0.42066;-100.312;0.38198;-0.00724;-0.03396
0;44;108.784;-1.93;13.753;18.514;-0.2163;0.3622;0.263;158.025;0.40369;-1.44;-10.886;-0.79916;0.04461;-0.73587;-0.0022;0.01635;-0.60576;-0.3084;-0.14337;-0.19228;0.52259;-0.25842;0.8387;-0.96076;0.53047;-0.19522;-0.09024;-0.97352;-12.005;-0.19998
0;44.5;86.417;-23.088;15.884;23.071;0.3261;10.602;0.9665;160.083;0.53482;-15.264;-0.7953;-0.30756;-0.3056;0.16998;0.13254;-0.33947;-0.60084;-12.827;-0.59067;0.10601;151.466;-0.57575;0.6949;-0.38562;-120.106;-0.64324;-106.839;0.15089;0.42098;0.01749
0;44.5;127.777;-6.117;-17.612;33.581;13.296;-0.8014;-0.3782;-138.448;-0.81122;0.2501;-0.7643;0.16626;-0.32616;-190.438;0.53799;0.68693;-0.75763;-0.5076;0.58744;-0.42312;0.25092;0.40069;-0.1987;-0.53282;0.62111;-0.42321;0.1716;0.13853;10.182;-0.24027
0;44.5;137.101;-69.874;0.2924;22.174;44.613;-15.409;0.5217;23.904;179.942;-0.3616;-0.8075;-0.00014;-0.2354;-112.364;0.69722;-0.8026;-0.33166;-0.859;-0.64644;0.26446;0.30321;0.34582;-15.276;0.43122;-0.24333;0.24736;17.975;194.903;-0.57718;-0.03042
0;44.799.999;111.215;29.959;3.163;15.448;23.349;-0.6536;13.849;0.34016;-110.475;0.3017;-0.0358;0.519;0.01501;-0.23135;122.922;0.25407;-219.888;-0.6003;0.04175;-103.771;-278.789;-0.19251;-0.1332;-0.36187;0.21337;0.3964;-0.21512;0.30854;0.69515;-0.92901
0;45;9.104;5.571;18.224;2.499;0.0563;18.428;-12.238;118.581;-163.835;15.872;-0.7024;0.86599;0.39886;326.179;-14.138;0.28776;245.409;0.1654;-0.58458;0.70122;-0.58764;0.26803;-0.7923;-0.11841;-0.51314;0.72451;-0.28343;-0.31473;-0.92776;-0.48737
0;45;48.784;73.349;-0.4935;13.133;0.8603;0.6375;-0.7064;-111.121;0.3636;0.6941;-0.58;0.35575;0.06728;375.048;-175.478;100.634;125.051;-10.446;-245.775;174.636;0.04303;-0.27229;-0.8344;-0.26165;-0.42419;11.669;-140.703;0.05375;-0.10465;-0.07269
0;45;89.745;0.1348;-48.363;0.535;54.585;-40.861;37.001;-0.63944;-0.98697;24.229;0.7778;-183.279;0.97062;-0.98112;171.638;-0.00832;-0.19768;-0.1018;-2.586;-156.773;0.85366;143.523;22.284;0.61708;270.084;-0.57509;0.89545;-0.72584;135.829;-0.65768
0;45;84.656;-0.0484;0.7866;-10.554;-19.086;0.0905;-1.233;-0.14927;-0.28818;-0.5228;0.0722;-0.24975;0.29568;-119.639;-0.89413;0.97188;-0.29312;-0.3265;0.8981;-0.50786;-0.97529;-0.421;0.3825;0.74672;0.49463;-0.47717;-0.59795;0.80548;-0.52791;0.70248
0;45.5;142.326;19.824;0.9364;27.882;0.1994;-0.7659;0.9095;0.88512;-0.71893;-10.592;-0.5915;-0.30245;-0.33469;-186.895;117.642;-0.04621;-232.256;0.384;105.117;-184.724;-11.598;-0.31086;0.8649;-0.11533;-0.44984;0.24145;-0.28457;-0.02275;-0.51171;-0.84452
0;45.5;-23.301;19.043;18.491;14.498;3.1;-0.8466;0.9541;-0.46945;229.403;-0.4269;-0.8655;138.657;-0.77778;0.14451;112.536;-0.49246;0.8241;-0.7582;-0.32582;-0.09555;0.10861;-0.18533;-0.0309;-0.57685;0.00816;0.01138;0.52959;148.987;0.02659;0.17668
0;46;71.468;-43.193;-14.135;28.118;17.501;0.2712;33.855;-0.54867;-0.41807;-0.0174;0.0163;0.59302;-0.83436;-0.29158;-0.44719;116.268;-127.449;15.362;0.04011;-131.459;0.13993;0.12264;-10.343;-124.014;-0.43461;0.34403;-148.043;-0.19268;0.13303;100.488
0;46.5;83.559;4.75;0.2401;-16.534;0.9213;-16.282;26.874;-189.209;114.649;0.9915;0.2525;-131.044;104.683;207.466;-143.404;-0.49787;420.213;-0.5199;-178.164;-245.654;0.81589;0.71662;-0.3566;0.95728;-175.118;-0.98632;0.00981;101.309;-0.56645;-151.161
0;46.799.999;103.648;-2.734;16.953;0.09;-0.2481;0.1874;-0.4863;-0.82676;172.476;-0.314;-0.2641;0.63715;0.48181;-0.16401;-0.59463;-0.62247;0.38368;-11.809;-0.09115;0.23672;-0.08563;-0.16006;0.2395;0.09976;-0.3066;-165.775;0.54965;0.47426;0.63268;0.34613
0;47;4.564;47.663;-0.2202;15.004;0.032;-10.827;-18.528;-280.018;148.439;-12.619;-0.5768;0.39515;-0.63281;-0.58146;0.26689;0.07634;0.43148;-0.4223;0.79836;-0.55302;-0.54211;-0.2857;0.7449;-0.20741;-0.02975;-0.10962;0.26516;-0.0635;0.38192;-108.487
0;47.200.001;67.891;34.482;16.725;-0.0647;11.855;-19.443;-0.6822;-240.425;0.04445;-0.5142;0.0803;-173.462;-202.937;-0.46128;162.096;0.68554;-125.382;-0.3607;-0.36809;0.35817;-107.972;-0.86148;-0.2516;-0.89299;0.82019;-0.87383;0.24614;0.16667;-0.57322;-0.7053
0;47.200.001;-17.818;28.187;16.253;0.7062;0.8448;0.3821;18.295;-0.98891;154.874;-13.887;-0.651;0.21935;-0.03413;-0.32425;-0.01789;0.66802;-0.63034;12.791;-0.5621;-0.63991;-0.01263;0.08756;-0.3873;-0.7852;-0.14463;0.64671;-109.776;-0.58013;-116.858;107.849
0;47.5;129.017;23.397;15.363;2.288;0.4214;-11.594;11.663;0.70274;-0.57448;-0.8015;-0.4981;-0.36546;-0.59662;-184.755;0.68294;-0.01403;-241.587;0.6346;0.67376;-177.977;-101.778;-0.46893;0.6351;-0.16847;-0.27433;0.36305;-0.42797;-0.16768;-0.87087;-0.23656
0;48;91.228;-21.518;0.7513;20.866;11.699;-0.9886;-13.725;-238.017;233.877;-0.6211;-0.358;0.38242;-0.78037;-159.498;0.34772;-0.1447;0.96706;-0.5754;0.57977;0.03061;-0.38997;-0.93273;0.7647;0.19885;0.38345;0.06796;0.11518;-0.98828;-0.09679;-0.25344
0;48.5;39.516;-25.206;10.466;17.203;0.3381;14.257;0.8244;0.47051;179.324;-25.445;-0.8573;-0.6332;0.66936;-0.30302;-146.867;0.29807;-0.4488;0.3994;-10.564;0.49576;0.50531;0.01972;-0.0762;-100.158;-0.10944;-0.2686;0.0064;-169.663;-0.66572;-0.31002
0;48.5;67.157;-0.1383;0.1533;-11.746;0.7611;-0.2609;14.644;-136.286;142.239;-14.126;-19.457;-0.9768;-292.268;0.00729;249.175;-0.03161;0.13539;0.2848;0.41582;0.51898;-0.56385;-0.02135;-0.4401;0.08764;0.95424;0.6776;0.85382;0.65302;-0.40571;0.04288
0;49;92.896;39.163;0.1167;2.571;15.263;-0.5397;10.196;0.40887;0.23812;-0.5111;-0.3855;0.30598;-0.54569;0.3863;180.618;-121.675;-0.35984;-0.4506;102.954;-154.182;-107.443;-0.39006;0.5096;0.16473;-0.76383;0.35645;0.30548;136.596;0.42054;0.14535
0;49;124.673;23.378;-12.468;14.635;20.328;-26.548;22.335;-0.33289;0.26147;-0.7241;0.0435;-0.66808;108.544;0.11463;195.615;-0.54595;-0.90725;-0.6793;238.035;-0.85767;-0.25293;-0.69885;1.564;-0.92773;-125.538;-0.51596;-0.27108;0.7926;-0.42526;0.14321
0;49;10.594;-27.982;0.4449;23.578;13.678;-0.6853;-15.455;-210.198;2.137;-0.8257;-0.2856;0.09367;-0.50092;-159.626;0.58496;-0.05204;0.5814;-0.6905;0.45753;0.07987;-0.56387;-0.72384;0.6683;0.08322;0.40904;-0.02075;0.23231;-0.8781;0.23121;-0.3883
0;49;-145.854;27.069;-6.414;-91.313;103.896;-23.402;-52.262;132.778;-539.877;-41.571;-79.519;201.604;-0.62225;179.852;-196.243;197.397;0.44287;-0.7225;146.355;-24.828;-0.63896;-165.063;13.247;-0.98493;-0.21043;0.0054;113.189;-128.155;0.04572;-0.43574
0;49;8.247;59.634;-11.688;15.485;-14.186;0.04;-11.353;-0.20547;-0.15599;0.0982;-0.4123;0.45231;0.4845;112.929;-0.11233;0.11842;-0.05985;-0.371;-0.04481;-0.06232;-0.99157;-0.9391;0.8277;0.75346;-0.25211;0.2506;0.48534;-0.0771;-0.86663;-0.93368
0;49;75.037;51.333;-31.538;0.3863;-0.1379;0.9997;0.3339;-0.38122;11.061;0.6265;0.4184;0.46946;-0.07696;33.387;-160.787;-0.7923;252.851;-14.056;-0.45187;0.70394;-104.348;-0.5214;-0.715;-0.16367;-0.8574;-0.26222;0.3204;0.97937;0.13515;105.527
0;49.200.001;25.111;41.593;-0.3638;-0.776;-0.2488;-0.707;-0.8152;-220.504;149.472;-0.6693;0.3593;0.12894;-109.769;-233.222;-120.002;-118.487;0.86673;0.1809;108.017;-0.84691;-0.62691;0.37355;-0.1919;0.57019;-0.48128;0.03659;0.09571;0.20146;0.31315;-0.57788
0;49.5;-0.3786;0.8247;0.641;-0.2797;-16.087;-0.5027;23.404;0.54064;220.665;-0.9831;-0.6822;0.43758;-0.43772;-113.656;0.64648;316.671;117.818;-0.665;178.516;-0.24553;0.88936;-0.80426;0.409;0.06946;0.81611;147.215;0.02587;110.298;0.4615;-0.50567
0;49.799.999;28.542;69.072;-0.5761;0.8304;-0.4833;-0.4705;0.2212;-206.228;0.4337;-11.129;-10.822;-231.393;-229.011;146.341;0.93859;-0.20593;0.33156;0.1143;-0.40057;-0.29758;-0.64643;-0.71508;-0.7418;-0.5282;0.12473;-0.28612;0.13553;0.33555;-102.452;-126.611
0;50;35.385;7.955;-0.4172;15.112;11.924;0.1693;-0.6656;-0.94793;0.41534;0.9317;-0.3482;0.3795;0.44883;382.146;-190.964;119.982;167.905;-0.6594;-217.232;123.137;-0.68043;-0.30599;-11.866;-116.292;0.51576;0.71149;-0.02056;-0.08043;-0.59285;0.58744
0;50;78.629;46.352;-15.274;23.931;0.6793;-0.3881;0.4294;-0.47828;0.9157;-11.979;-0.4207;0.27316;-0.39116;0.21578;0.70296;0.37358;-0.60126;0.1679;0.07042;-107.184;-0.74863;-0.34328;0.3581;-0.90518;-0.2046;0.4973;-0.34101;0.08948;-0.25738;-0.19366
0;50;91.467;0.4997;5.03;-20.987;-3.675;0.9016;2.191;-0.46915;-0.19523;-0.344;-13.267;0.12661;0.41888;-0.16623;-336.088;0.87547;0.21556;-0.7964;0.68612;0.15842;-0.89164;-0.56481;0.0499;0.2143;0.89594;-137.431;-0.98415;-0.37955;-0.18556;-0.85493
0;50;-18.703;44.894;6.263;0.5847;43.794;-1.162;18.243;-0.40284;0.21227;11.806;-0.1962;151.785;-0.03186;-0.58888;0.32137;0.27839;-0.67551;-0.6354;-163.044;0.4476;-0.32486;-0.51348;-0.3891;-0.56139;-0.20239;-0.492;0.64828;0.19266;-0.07666;112.235
0;50.099.998;66.458;52.737;-21.505;29.985;0.2359;-0.0717;-0.0803;0.08748;0.74006;-11.162;-0.3635;0.27898;-0.60275;0.20724;0.46091;-0.39093;-0.29784;0.2999;0.37546;-110.969;-0.54186;-0.39083;0.2752;-0.8916;-0.25426;0.55807;-0.29809;-0.13136;-0.31859;-0.3059
0;50.200.001;79.505;-0.2341;13.753;0.2019;1.35;-0.4134;0.6271;101.136;130.594;-0.6403;-18.408;0.557;-0.34907;-294.167;0.08554;0.13373;-182.514;-11.165;-0.84516;101.388;0.18609;101.063;-0.3515;-0.62907;165.154;0.81576;12.515;0.93856;-0.71755;0.16145
0;50.5;37.844;32.544;-26.916;13.484;0.5676;-0.7001;0.9212;-0.10718;0.70468;-0.0006;-0.3379;0.98669;-108.359;-0.01708;-131.537;107.085;-0.65878;18.187;144.589;-11.491;0.83924;-0.33717;-0.4644;0.67463;-0.1364;124.256;-0.15968;0.4133;0.6587;0.29895
0;50.5;9.77;-18.401;-13.206;0.8619;0.9382;-0.2235;20.676;-147.599;-110.367;0.1881;-1.832;-11.681;-331.847;-10.276;159.752;0.18823;-0.9583;-0.967;-0.72863;123.675;0.36092;-0.69881;-0.2248;-0.04527;0.17077;-0.15592;-0.93406;-0.14176;-0.00964;0.21743
0;50.5;74.866;-2.425;0.2311;-15.329;-0.7377;-0.088;28.972;114.205;0.79799;-0.4631;-0.433;-0.98829;-294.843;-152.146;158.169;325.067;0.37776;-0.1036;155.905;0.84254;0.83625;-0.95103;-0.735;-0.29122;0.91328;0.30723;0.33752;107.898;0.26548;-0.32737
0;50.799.999;81.896;49.936;-2.454;35.675;0.5167;-0.29;-0.2829;0.58423;0.23;-0.9608;-0.3451;-0.10458;-0.44981;0.37146;101.789;-0.22378;-0.55797;0.0366;0.31269;-127.186;-0.81878;-0.49173;0.4413;-0.87393;-0.2698;0.75225;-0.19497;-0.03014;-0.50794;-0.28132
0;51;100.892;14.407;35.132;0.6161;-10.809;-0.0231;16.517;0.16631;-104.916;-10.727;-0.8082;-0.69874;-0.03181;-11.495;-123.369;0.39416;-222.802;0.833;0.49595;-120.846;-0.50896;0.23329;0.2742;-0.3248;0.02789;-0.28257;-0.75854;-0.31472;-0.46928;-0.42897
0;51;16.264;-28.605;38.707;-0.1153;-0.1963;0.463;23.577;-0.81351;316.966;-22.148;-12.841;0.67044;-0.23085;-0.06559;-196.263;-0.99471;134.133;-11.687;0.11246;0.70188;0.7611;-103.387;0.6678;-0.23192;-0.32007;-161.157;0.68246;-0.92416;0.19064;-0.80255
0;51;-53.271;22.321;-16.973;26.768;0.4173;0.6377;0.1097;-109.186;313.644;-29.751;-12.189;-0.23795;-0.00654;0.41944;0.4695;0.44538;0.69049;0.7478;-0.37977;-0.17307;0.81012;-0.43443;0.6382;-0.49175;-0.34551;0.60406;-0.02303;-114.313;-109.874;0.08227
0;51.5;124.089;0.5723;24.858;13.663;-21.553;0.2958;11.771;0.64184;-107.396;-13.703;-11.749;-0.53283;0.18651;-121.691;-0.80568;0.16868;-150.564;0.4127;126.062;-14.238;-0.26235;0.10685;0.8867;-0.15904;-0.03511;-0.49795;-0.63076;-0.39178;-0.33447;-0.96177
